replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
999981,38.139145,27.384304,38.20578,27.384329,0.00014835817,0.00018133814,0.005880641,0.0012791967,0.010480621,0.0036798685,-0.0044887783,0.0007511911,-0.0016785308,-0.0070613325,0.0058792355,0.0012784556,0.010494807,0.0037372045,-0.0044944277,0.0007413701,-0.0017317596,-0.006798177,0.0058760447,0.0012807369,0.010515044,0.0037452162,-0.00449279,0.00074964267,-0.0017227638,-0.0069395397,0.013603039,0.60754424,0.99984485,-1.0,3.1744661,0.8398237,5.0010695,0.80722076,1,1,-2.0002728,0.005857005,0.001273487,0.010373366,0.0038489967,-0.0045186896,0.00075255614,-0.0024165474,-0.0063909255,3.1759777,0.839908,5.003672,0.8091622,-2.0047681,0.38119784,-0.90808594,-3.5055773,0.00079525256,0.00026894276,0.0016146433,-4.5491615e-06,-0.0005442949,0.00062734156,0.0012719771,-0.0015811299,0.9999000430107117,-0.0,987,47,21.0,5.019112407757185,29,8,0.2852082074560222,0.5863575354843409,1.0826065183283227,-1.2220892657685265,5.9893723565764665,1.57405729182823,9.020810974304425,1.9333701418399576,0.121499315,0.6805387,0.99813837,-0.9984945,47,5.9893723565764665,917,5,183.4,47.246587178334906,266,125,1.1427931202108899,0.3349087915671732,2.544223872777853,0.6792613334324226,209.58825824667724,88.66072468343381,369.8908324474268,116.06361804424529,0.00081207143,0.00021105964,0.0011495063,0.00041326295,5,209.58825824667724,12.229717086011078,0.004683788982219994,3.681202278996352,189.05613801500294,204.9717411689926,221.3691292029689,0
999981,22.210135,15.748299,22.48324,16.107601,2.298232,2.180317,6.759146,5.2303524,19.483337,-2.5738084,6.921683,5.014069,19.14077,-0.8683066,5.2152314,5.4722447,19.166153,-2.501767,5.495919,5.17456,18.916183,-0.8784537,6.6254263,5.2473593,19.361235,-2.448339,6.8068,5.0128436,19.019798,-0.8757834,0.026424171,0.6133676,0.9999972,-0.99996203,3.1479635,0.8411157,4.4106064,0.784083,1001,1001,-7.9063025,9.559059,4.244309,19.141586,-1.6502953,9.586414,4.121668,19.465334,-0.51395935,9.259949,4.5329256,19.20969,0.38675475,-1.6586964,1.0141904,4.0384626,-4.4440923,0.019668063,0.35644048,0.86261714,-1.5764751,-0.24596994,0.33890426,0.6947559,-1.0745734,0.9064162969589233,-0.4572940766811371,1986,51,249.75,143.8130296600416,424,25,2.902998169946885,0.8763046848486984,4.669977004193361,0.7719250551143383,725.0237929442346,459.682809425475,1317.2771985853244,26.373614563063036,0.07091646,0.6034525,0.99989897,-0.9999798,4,725.0237929442346,1913,21,62.25,2.7726341266023544,65,57,1.9059979254554156,0.5719010911359752,2.8678148848205374,1.0033671107670457,118.64837085959964,6.376154042063017,125.18186660111564,106.05909321503012,0.09993565,0.20948234,0.4510716,-0.66271853,16,118.64837085959964,11.918199617997743,0.0038481709780171514,1.0291257679928094,280.80987129203277,293.76104484900134,515.1367346888874,1
999981,24.372875,14.561138,24.470575,15.09095,2.9085374,2.6858504,6.6820307,8.965673,30.128555,-9.932729,6.8445,8.787658,29.544416,-7.681821,4.0613484,9.222182,30.445284,-10.680737,4.4863844,8.942252,29.32848,-7.936104,6.4005966,8.9843235,30.288124,-10.364659,6.6295624,8.81722,29.60937,-7.850371,0.042678043,0.6071986,0.9999855,-0.9999989,3.103621,0.86207294,4.6616635,0.8242055,2001,2001,-7.3796606,9.589977,7.9673886,30.521378,-7.9903374,9.553351,7.982531,29.7196,-6.2046623,9.753059,8.720605,30.56319,-4.904728,-1.3383275,1.1742388,4.846509,-4.2759066,0.024258645,0.47027138,1.1324642,-1.9819411,-0.31489703,0.3996024,0.9657083,-1.1540596,0.8230105042457581,-0.8446276187896729,2822,54,278.6666666666667,103.8663671369237,359,132,3.084580961041936,1.0510947421720702,4.910268789821922,0.810066866061039,859.5698944770196,414.42750842432616,1199.7437269256673,276.1591797652485,0.084662646,0.6208877,0.99947906,-0.99999994,3,859.5698944770196,2899,28,140.85714285714286,0.832993127835043,142,140,2.313668780998305,0.6235121805001229,3.0772350233169097,0.9854458773452008,325.89677400918987,1.3489094090832487,328.1186372387872,323.95505384600347,-0.03135699,0.29543003,0.6151867,-0.8746572,7,325.89677400918987,11.711179187987,0.004285532049834728,1.059408838977106,185.64736810704926,198.4222416660632,713.5652745369589,2
999981,25.733295,15.568787,25.456127,15.469612,3.0928118,3.0596547,9.65195,13.000868,41.208534,-18.48616,9.695734,12.937115,40.820545,-18.219881,6.6062913,13.662898,40.723587,-19.079523,6.707755,13.49785,40.55318,-19.012445,9.377452,13.011601,40.186604,-19.207155,9.437246,12.922644,40.989117,-17.884224,0.01272554,0.6042135,0.9996986,-0.99998903,3.2431161,0.77703905,4.40087,0.7995248,3001,3001,-10.352171,12.21105,12.266724,41.015995,-11.672931,12.286893,12.228768,40.073215,-10.8228855,12.358215,12.472289,40.20049,-13.010421,-1.2036564,1.2907507,4.6130395,-6.730272,0.020692786,0.5125373,1.6501886,-1.9699497,-0.38969722,0.41893238,0.85778666,-1.3179171,0.7474894523620605,-1.2230072021484375,3540,57,239.33333333333334,75.96636682696422,297,132,2.9784371128800897,1.0818418122531352,4.927056207482554,0.8205511284114312,712.8392823493014,313.4884895484002,970.0135529586843,271.5084892009935,0.05436801,0.6084145,0.999857,-0.9999946,3,712.8392823493014,3648,30,374.5,11.5,386,363,3.177310748925217,0.9112242066587913,4.976525681231272,0.9242364985961462,1189.9028754724932,49.68932268945434,1239.5921981619476,1140.213552783039,-0.033674035,0.4117431,0.8292222,-0.9850245,2,1189.9028754724932,11.929683761030901,0.002963009988889098,1.0256351410062052,181.64687503199093,194.60515694401693,908.1761908100452,3
999981,28.141788,14.632774,28.128326,14.544201,3.4082456,3.4306157,7.496852,15.571911,51.176533,-27.724445,7.296872,15.542383,51.942352,-27.921795,3.7106194,16.123375,50.199924,-27.931532,3.4917603,15.947539,51.294655,-28.51174,7.0761385,15.658862,51.5006,-27.984106,6.8700953,15.661269,51.78989,-27.386957,0.008084257,0.6199458,0.99970704,-1.0,3.1408553,0.84076774,5.5828424,0.8538715,4001,4001,-7.886798,9.962637,14.786322,49.226807,-17.83152,9.828453,14.846144,47.207516,-16.580282,10.243128,15.204108,49.635136,-21.088583,-0.8646298,1.3763199,6.170975,-5.208569,0.017448956,0.5839897,1.5917854,-1.9676292,-0.43006754,0.4502157,0.8993062,-1.4387342,0.6789290308952332,-1.4961642026901245,4461,61,230.25,115.06384097534725,300,31,3.233841263407874,1.129663790305782,4.968920017528565,0.7881410415659207,744.5919508996631,409.06365876976446,999.593741830255,36.80230861882622,0.028951224,0.60337293,0.9996028,-0.9999987,4,744.5919508996631,4332,32,342.0,0.0,342,342,3.1384720542156708,0.8648008007268821,4.979148576760536,0.8995279507429453,1073.3574425417592,3.989898762878852,1077.347341304638,1069.3675437788802,0.003087713,0.42588395,0.8920618,-0.98105544,2,1073.3574425417592,12.230312695959583,0.003230726986657828,1.043478283972945,187.04537959798472,200.3224013049039,1108.5043287790031,4
999981,26.045162,13.776726,26.247103,14.105202,3.621744,3.6237037,8.689903,17.75516,52.37362,-33.421646,8.854982,17.732197,53.199318,-33.653954,4.393377,18.29584,52.795006,-34.703945,4.5744777,18.110613,52.771996,-35.96747,8.247261,17.84694,53.416565,-33.834217,8.428546,17.846611,52.994072,-35.643517,0.049551293,0.59882575,0.999995,-0.99999064,3.0803623,0.88040566,4.5736227,0.7914914,5001,5001,-9.122312,11.134938,17.231619,52.697433,-22.16345,11.296164,17.229227,52.48742,-22.216192,11.319107,17.72958,55.08049,-27.391142,-0.8372134,1.5366936,7.244816,-6.611877,0.040728718,0.60348094,1.7536516,-3.1215463,-0.5227035,0.46366993,1.2006816,-1.5438979,0.6167498230934143,-1.8541224002838135,5396,64,311.6666666666667,25.249862485874168,331,276,3.2043982391103865,1.0373581789552255,5.15867346839513,0.7913707544547608,998.7041178560706,70.88974059679043,1066.5155033202914,900.8512204634943,0.024055777,0.61547256,0.9996163,-0.9999989,3,998.7041178560706,5063,35,243.66666666666666,73.14065596886287,347,188,3.008916151874762,0.9508569909968794,4.846201182092418,0.8692343407781377,733.1725690068173,271.75542331803854,1116.734991834875,520.5007855601186,0.010497001,0.43723857,0.8865557,-0.9935299,3,733.1725690068173,11.840376828040462,0.004414843046106398,1.061859371024184,186.51743525697384,199.4240862990846,1307.9338525560452,5
999981,27.652664,13.89613,28.124283,14.04921,3.6715212,3.7261584,7.480901,20.255661,60.008846,-42.14073,7.792104,20.06952,58.427795,-42.196037,3.034005,20.463299,59.650635,-43.09004,3.2317345,20.203909,59.29234,-42.114,7.0483613,20.211388,60.053814,-42.124653,7.3001556,20.063398,59.47102,-41.814636,0.0058969148,0.6182452,0.99973786,-0.99999946,3.06819,0.8896118,4.3579736,0.7893531,6001,6001,-7.798997,9.746475,19.819437,59.525017,-33.1382,10.060703,19.655993,58.8603,-32.905277,10.554251,19.974709,59.17615,-32.395527,-0.6496794,1.5819383,10.123492,-5.0155597,-0.004714318,0.6644753,1.6921533,-2.196676,-0.5200805,0.4653595,1.0117475,-1.5337296,0.5603960752487183,-2.11322021484375,6342,67,315.3333333333333,38.57748335781149,369,280,3.168533104409307,0.9742769181877374,4.890927040349636,0.8342696526370926,999.1441055904019,121.52852332443213,1170.8929010876254,907.7437322659114,0.032677542,0.6177067,0.999913,-0.99999243,3,999.1441055904019,5868,38,268.3333333333333,54.980804731186765,344,215,3.0906251392789064,1.0028843772253455,5.103607193057975,0.8539455123452857,829.3177457065067,169.99244632563597,1055.032898285291,644.7967189425983,-0.011608064,0.45682767,0.9072125,-0.99537116,3,829.3177457065067,12.113018639036454,0.004648307978641242,1.03689123300137,185.32301758800168,198.47757576801814,1506.4169990839437,6
999981,30.290913,13.604927,30.859825,14.052048,3.9149375,3.8740325,11.799481,22.011536,70.92902,-43.01959,11.720182,21.934708,70.901695,-42.712013,6.7630644,22.52473,72.24089,-44.91676,6.7432084,22.297495,70.61783,-44.07085,11.2225065,22.015676,71.8992,-43.107483,11.117243,21.936989,71.01511,-42.951103,-4.3834248e-06,0.6262458,1.0,-0.9999948,3.1704502,0.8405854,4.709139,0.8172192,7001,7001,-11.76412,13.973017,21.502583,70.09919,-31.166258,13.80908,21.45617,67.4876,-31.990904,14.013184,21.583284,73.941574,-34.606304,-0.5162324,1.6659861,6.384733,-6.9344697,-0.010144457,0.70533603,1.7850798,-2.8162346,-0.5312037,0.48362982,1.1523657,-1.6089262,0.5092653036117554,-2.3723673820495605,7081,69,369.5,18.5,388,351,3.147976514332599,0.9450573967090957,4.84039011243158,0.8309907508915065,1163.1773220458952,81.44537142917397,1244.6226934750691,1081.7319506167212,0.036420565,0.616968,0.99991333,-0.9999998,2,1163.1773220458952,6865,43,199.4,1.8547236990991407,202,197,2.8576213189806716,1.0101070791418183,4.937634977877557,0.840089880239319,569.8096910047461,8.96252296543613,581.6815596592129,559.4097720542422,0.04558168,0.467704,0.91085076,-0.99702376,5,569.8096910047461,12.137721853039693,0.004037988022901118,1.060491502052173,184.7076868059812,197.90993814909598,1704.33247682394,7
999981,26.987595,13.632744,28.085295,13.951096,4.0901012,4.073802,13.291025,22.359474,74.93837,-42.22601,13.411697,22.27812,75.158394,-42.799427,7.6464195,22.783133,74.09702,-44.063316,7.7878494,22.324463,74.31384,-43.990726,12.772316,22.39843,75.06436,-42.365807,12.921483,22.27123,75.396065,-42.41952,0.021472724,0.60758656,0.99975073,-0.9999787,3.0663805,0.90660745,4.5799594,0.79806,8001,8001,-13.139048,15.09015,22.110287,74.882965,-28.433031,15.171325,22.069693,75.409035,-27.892447,14.845327,21.951807,75.44651,-29.401339,-0.48815504,1.7079076,6.9584255,-6.1212206,0.004169639,0.72275114,1.8264595,-2.9093974,-0.6257578,0.5025189,0.9576409,-1.6888273,0.4628531038761139,-2.6867518424987793,7811,71,365.0,103.0,468,262,3.1175767603005693,0.980174776635758,5.162737123506974,0.798442390709977,1137.915517509708,314.011705173842,1451.92722268355,823.9038123358661,0.04980029,0.6258455,0.9999556,-0.99999857,2,1137.915517509708,7771,47,226.5,3.570714214271425,231,221,3.024858280205213,1.0880770741154913,5.035986945862123,0.8428781210176526,685.1304004664809,16.920478622018816,704.7536397681542,658.1011399498548,0.016622016,0.4911463,0.9385826,-0.9963408,4,685.1304004664809,11.9232132229954,0.005320294003468007,1.0554138679872267,183.36390278901672,196.34785017400282,1900.6858962249826,8
999981,24.661716,13.06044,24.77349,13.146454,4.1541514,4.139569,19.274948,23.554094,82.88037,-38.534176,19.470186,23.426245,82.271286,-37.569695,13.234085,24.321468,81.07978,-40.81849,13.450516,23.801708,78.73554,-41.60338,18.649464,23.463985,82.26925,-39.867428,18.836554,23.310896,81.0271,-39.168636,0.05647022,0.6024226,0.9997933,-0.999999,3.105653,0.86206925,4.924715,0.7868018,9001,9001,-18.950191,20.89646,23.299751,80.584755,-25.653471,21.074081,23.23075,80.24461,-25.64088,20.431042,23.203283,74.25419,-32.806007,-0.20903507,1.699533,6.0304213,-6.01008,0.055104464,0.75834835,1.9354671,-2.69734,-0.68704575,0.51090246,0.9371754,-1.7436064,0.42070862650871277,-2.778123617172241,8633,75,205.5,184.71938176596413,459,26,2.9909321153218107,0.9648338024234804,4.575165101847967,0.7880854722104662,614.6365496986324,611.2560530056154,1462.5917614076343,27.921267330485097,0.06015027,0.5980713,0.99922985,-0.999988,4,614.6365496986324,8560,53,131.5,103.03033533867585,247,28,2.91914240369571,1.257253824521011,5.293480353823884,0.8332470336850606,383.867226085986,352.7552323277971,799.5092591161039,31.432222108182778,0.026178474,0.49159357,0.9491258,-0.9984861,6,383.867226085986,12.647825172985904,0.0031995070166885853,1.058936175017152,184.3091746220016,198.01913547702134,2098.7103769820533,9
