replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
999981,37.56018,27.370876,37.58043,27.371038,0.00015157703,0.00018441633,0.0029689125,0.0011537808,0.006034209,0.00041855848,-0.0002896556,0.0010185306,0.0012619825,-0.0036488932,0.0029602745,0.0011587717,0.0059602093,0.00051569246,-0.00028341907,0.0010200714,0.0012624662,-0.003628981,0.0029639844,0.0011573893,0.0060157473,0.00053623115,-0.00028493418,0.001017446,0.0012138245,-0.0037695838,0.01022692,0.6043447,0.9986932,-0.99998105,3.0637982,0.913636,4.4503293,0.744936,1,1,-2.0522938,0.0029962272,0.0011517676,0.0058833933,0.00067309575,-0.0002842144,0.0010517733,0.0010162602,-0.0036190825,3.0616324,0.91296804,4.4465823,0.7439794,-2.0525692,0.40846407,-0.8738911,-3.0452197,-0.0012521083,0.0012740334,0.0011738397,-0.0048477184,0.0011104782,0.0004917729,0.0026762914,0.00010930328,0.9999000430107117,-0.0,994,54,18.40740740740741,5.424630106927307,36,10,0.7746110533024989,0.28497117062818517,1.6668759421208568,-0.220822139437799,14.258581240420082,6.425396913758541,44.41908752579344,6.503978363009396,0.15378812,0.662566,0.9993763,-0.9962023,54,14.258581240420082,956,8,119.5,7.632168761236874,132,109,0.9223906511628905,0.07226297547116158,1.0036564811791786,0.6792820297380993,110.22568281396542,9.157055205063426,125.91757813308273,99.88430450242818,-0.0010007374,0.0008359575,0.000109767716,-0.0021734203,8,110.22568281396542,2.436352172982879,0.003185187990311533,0.8201041860156693,55.014320048037916,58.273961595026776,65.29073130205506,0
999981,21.679832,15.33112,22.22979,15.585049,2.3679075,2.3626819,5.8063583,5.1425653,21.218233,-2.59255,5.6755114,5.1664653,20.374983,-3.033304,4.1345544,5.327543,22.470375,-2.6238384,3.9356658,5.409642,20.176613,-3.1288276,5.820324,5.2283697,22.94442,-2.4157462,5.681025,5.1970806,20.35519,-2.9985518,0.0114696,0.6101006,0.9998176,-0.9999988,3.0972686,0.90938747,4.497351,0.8495933,1001,1001,-6.9441442,8.671327,4.3537908,22.427715,0.55764395,8.446943,4.364628,20.607578,0.55478084,8.79174,4.850962,20.166197,0.099944055,-1.6695328,1.1012774,2.5052557,-4.3443384,0.012316462,0.41867924,1.0120794,-1.7145299,-0.26165244,0.34059584,0.7274747,-0.9566431,0.9065232276916504,-0.45780718326568604,1892,60,149.66666666666666,49.87540030471491,214,84,2.699613464497073,1.0266282576638652,5.159344255434777,0.7804297212838313,404.04214851972864,190.13620557215222,667.6611598274902,171.4907143034056,0.0967306,0.5997066,0.99987304,-0.9999957,6,404.04214851972864,1937,24,61.3125,1.0439558180306292,63,59,1.9000354475430927,0.5952842704520707,2.9788782806414345,0.9972339472263038,116.49592337748587,2.5329263432322824,120.36989594180773,110.45485963524752,0.106072515,0.16331942,0.40101346,-0.559216,16,116.49592337748587,2.437409920967184,0.0055662369704805315,0.8031833749846555,55.03367456002161,58.27983409294393,123.57275339402258,1
999981,25.597324,14.002399,26.302511,14.360916,2.9186268,2.8183422,5.9901137,9.634688,28.854538,-11.569747,6.057133,9.645687,28.783459,-12.898596,3.3936653,9.846074,29.241613,-11.922794,3.5074112,9.942744,27.484564,-13.147504,5.630291,9.635763,29.025167,-11.775108,5.7482433,9.631421,27.918371,-12.891657,0.013109975,0.6165505,0.9999992,-0.9999976,3.0490541,0.910484,4.6289964,0.8026457,2001,2001,-6.7030454,8.997318,8.723462,28.598799,-4.3391514,8.959075,8.681295,28.378664,-4.4415627,9.434458,9.425328,29.396181,-6.0706315,-1.3273853,1.2742302,3.3812141,-5.1730566,-0.0055139684,0.4804832,1.237095,-2.151935,-0.31718084,0.4218259,1.0303102,-1.1638017,0.8231427669525146,-0.841801643371582,2764,64,218.0,77.98397271234647,303,95,2.995355311294963,1.1109123723330785,5.07962386963198,0.8002560153013394,652.9874578623021,284.86559202232087,949.7876495765324,198.90617126859337,0.04926012,0.6093611,0.9998175,-0.9999972,4,652.9874578623021,2801,30,144.0,4.123105625617661,152,138,2.2999966946209685,0.6273642326395843,3.8040467813969325,0.9973211290365699,331.19952402541946,20.752821434615953,372.56293265696127,302.351140486798,-0.026680946,0.28512278,0.61095995,-0.8629052,6,331.19952402541946,2.4349877560161985,0.00496669503627345,0.8255051599699073,55.41700632497668,58.68246593599906,182.25879579392495,2
999981,26.37318,13.608803,27.300144,14.171043,3.2515895,3.1878812,6.354051,13.716652,39.561424,-21.90899,6.290234,13.664529,39.062855,-24.239092,3.0677552,14.135967,38.107155,-22.465601,3.005656,14.129013,38.49967,-24.356073,5.94798,13.819799,39.138325,-22.302334,5.9014,13.7621975,39.46927,-23.765877,0.01914116,0.6171852,0.99989897,-0.999978,3.1491215,0.8722512,4.591028,0.7723735,3001,3001,-7.0726037,9.23167,12.81183,39.43422,-13.885564,8.992179,12.797548,39.568768,-14.110258,8.697695,13.427027,38.92383,-16.851458,-1.081664,1.3380818,4.361067,-4.8900986,0.0070410226,0.5324163,1.3212768,-1.5777357,-0.41761026,0.4174582,0.7884253,-1.2984779,0.7476222515106201,-1.186786413192749,3633,68,217.25,112.80597280286182,325,29,3.2039522342616893,1.2245534682427188,5.516737660704279,0.7935725116575341,696.0586228933521,393.7881681192617,1048.6510570255325,33.697493080381854,0.04488023,0.6087037,0.9995182,-1.0,4,696.0586228933521,3688,33,295.6666666666667,25.772509040103607,332,275,3.0470769181374173,0.9279710073759623,4.967809945311031,0.9337033557211734,900.9190754626294,97.74913654314012,1039.134871490133,829.6580776470072,-0.03036409,0.40114728,0.82063967,-0.9741079,3,900.9190754626294,2.4151282900129445,0.0026222390006296337,0.8076488189981319,55.17067678901367,58.396076137025375,240.6583256458398,3
999981,28.10239,13.304852,27.334278,13.4552765,3.742855,3.5741928,7.787291,16.280706,50.887184,-29.824137,7.923285,16.243977,50.813858,-30.547075,3.5187485,16.627304,48.25277,-32.318047,3.8299935,16.755919,47.324482,-34.632122,7.217781,16.433891,48.013668,-31.774357,7.4060698,16.43986,49.486908,-33.883156,0.051223654,0.6248266,0.9977724,-1.0,3.182201,0.9215071,4.907144,0.763607,4001,4001,-8.31803,10.548042,15.555796,48.832993,-21.116821,10.5882435,15.646617,50.08485,-20.659832,10.620054,15.963077,51.56323,-22.522524,-0.9191699,1.2704458,3.5786128,-4.494582,0.043459907,0.5834738,1.4918107,-1.8572459,-0.4819732,0.4403841,0.96283203,-1.3955362,0.679157018661499,-1.515961766242981,4481,72,212.0,107.24970862431282,290,29,3.0173083405471646,1.1003987005257783,5.156734640122009,0.7931467557263701,639.6693681959989,361.52442473260436,931.5307378446458,33.14757976483533,0.034324855,0.61708546,0.99970263,-0.9999999,4,639.6693681959989,4560,36,290.6666666666667,34.101156708957674,338,259,3.0255811811823845,0.883786662275425,4.878504629059113,0.9243815351690656,879.4355966636798,142.40960645163304,1080.690880329881,772.2522617405164,-0.017127346,0.41592574,0.8658794,-0.9709598,3,879.4355966636798,2.396687035972718,0.0026104110293090343,0.7957868310040794,54.94917287200224,58.14425715000834,298.8046380018932,4
999981,30.249569,13.761234,30.453821,13.657642,3.7021341,3.627643,6.39355,19.866777,59.14007,-40.059063,6.5223556,19.799229,58.856285,-44.197006,1.8551241,20.172186,58.68852,-41.843006,2.0051293,20.283234,59.10053,-45.6284,5.952363,19.962215,59.525856,-40.48028,6.0294123,19.900303,59.533905,-43.60531,0.039862204,0.61481655,0.9985848,-0.9999995,2.9512286,0.9529206,4.7040124,0.7965131,5001,5001,-6.8731537,8.783771,19.436926,58.94783,-28.277206,8.886507,19.336655,58.97455,-27.984922,7.623252,19.102201,60.17938,-33.33247,-0.765535,1.5369439,3.2222838,-5.590991,0.05049421,0.60480714,1.6053756,-1.8799491,-0.5854195,0.44778806,0.8153623,-1.5088017,0.6170482039451599,-1.8176733255386353,5406,76,231.25,120.88915377319836,329,27,3.1826681347528605,1.1780370433804614,5.578191513707843,0.8183407681238718,735.992006161599,415.0928396673484,1072.6472739842582,29.6449116430904,0.04352877,0.6107297,0.99966687,-0.99999994,4,735.992006161599,5384,40,206.0,2.5495097567963922,210,203,2.920650598489919,1.0231889874451683,4.92743697473796,0.8911475016891768,601.6540232889236,9.074299986618401,614.474621233539,589.9236369941079,0.0196875,0.4389947,0.9061552,-0.9898541,4,601.6540232889236,2.4169068050105125,0.005014905007556081,0.7998587709735148,55.65534113696776,58.87712161795935,357.6851635047933,5
999981,31.512165,13.374859,31.159332,13.290916,4.033847,3.906876,9.798969,22.323824,61.422073,-45.789845,10.154044,22.309696,59.49581,-49.786682,4.732934,22.514864,60.976925,-46.088966,5.290984,22.696266,59.256393,-49.439163,9.398114,22.37401,61.467438,-45.680843,9.749418,22.349596,59.237587,-48.41834,-0.007797331,0.60285103,0.9991509,-0.99999756,3.1959481,0.9281655,4.473716,0.7795116,6001,6001,-10.285221,12.230175,21.639162,61.14353,-33.277534,12.574179,21.626534,58.958515,-32.63267,13.075306,22.153828,63.22561,-40.720203,-0.5655999,1.7198243,8.718796,-5.0038953,-0.031265993,0.6831444,1.6506579,-3.4025,-0.5205111,0.49848068,1.467138,-1.5804971,0.5607866644859314,-2.062058687210083,6158,79,250.66666666666666,161.4957859787335,406,28,2.9883924755752167,0.9070317155109113,4.653301721002928,0.8112944061134797,749.0903805441875,520.3737221566679,1248.4082835914355,31.24937058693253,0.08155274,0.616511,0.999848,-0.999999,3,749.0903805441875,6324,44,235.0,5.916079783099616,242,226,3.135220115630688,1.1462582253484155,5.240477694325777,0.8711716533807227,736.7767271732117,33.218985299234774,777.8796216555502,687.0652844583806,-0.00048634212,0.47639656,0.940257,-0.99792194,4,736.7767271732117,2.4005706579773687,0.004844068957027048,0.8093823450035416,54.688113045995124,57.90291011793306,415.59137166274013,6
999981,24.83593,12.409149,23.641485,12.488777,4.3430576,4.1868534,14.128565,23.081835,65.3055,-48.425922,14.395727,23.061619,66.27856,-51.490276,8.073597,23.417505,64.18403,-48.891933,8.52819,23.714354,67.379944,-53.446896,13.466766,22.993551,64.59216,-48.82448,13.763117,22.969904,67.84745,-52.802006,0.06199841,0.6193333,0.999722,-0.99998516,3.15686,0.83692074,4.5500407,0.76619816,7001,7001,-14.241237,16.363077,22.207441,64.551056,-35.50725,16.59212,22.213154,66.252464,-35.36164,17.030476,22.59039,66.12309,-33.000385,-0.47255534,1.6847047,5.536365,-6.1572847,0.08242735,0.70276505,1.8172015,-2.2083318,-0.6145332,0.4699778,0.8489554,-1.5787969,0.5098059177398682,-2.3392140865325928,6973,85,135.83333333333334,122.32118468287585,301,26,2.891469669392886,1.2698581789628451,5.112930849702452,0.8072355330509302,392.757963425867,434.92920401397413,1009.9726979695223,27.644175438861073,0.103359304,0.60974497,0.9999056,-0.9999994,6,392.757963425867,7113,50,131.5,100.18108603923197,234,30,2.9057427828177844,1.2490572432540847,5.194492795586763,0.861509859904439,382.1051759405386,344.94043584888266,739.0511850995437,34.69737592871214,0.03325762,0.4830973,0.96308994,-0.9979812,6,382.1051759405386,2.424779466004111,0.002484233002178371,0.8063763690297492,55.32861043896992,58.562250507005956,474.157043292711,7
999981,24.236715,12.623322,24.781502,13.010841,4.2961626,4.1668367,17.716904,23.892765,72.160164,-41.900623,17.655237,23.927322,70.43784,-41.029827,11.43894,24.380972,69.489555,-43.401203,11.53667,24.549675,69.63859,-44.4401,16.979763,23.864225,70.17157,-43.23872,16.943104,23.847704,70.3157,-44.45318,0.050667524,0.6178332,0.99938124,-0.9999617,3.2057467,0.78412753,4.5480337,0.80039227,8001,8001,-17.334599,19.443855,23.624544,69.83485,-31.774336,19.304659,23.65313,70.10826,-31.66109,19.777645,23.997597,72.81813,-34.773968,-0.280432,1.8451929,5.8017254,-4.7872324,0.06736603,0.7380378,2.114404,-2.19241,-0.66578585,0.5015348,0.8962726,-1.7014266,0.4635171890258789,-2.5220556259155273,7814,88,280.3333333333333,17.9133717900592,305,263,3.14978411042405,1.0540170956591777,4.9945307414997675,0.8330668143874029,882.9894789555419,49.841393478803965,944.4252867577634,822.3470383724737,0.019655691,0.60500973,0.99925935,-0.99999887,3,882.9894789555419,7867,53,251.33333333333334,8.993825042154693,264,244,3.2227537410939964,1.1597395272130613,5.0737644752825855,0.8494307923086589,809.9854402616247,42.245434493329604,869.4882075895835,775.5885627023297,-0.0015603765,0.5123605,0.9779681,-0.99859875,3,809.9854402616247,2.412903738033492,0.0047031419817358255,0.8261902660015039,55.197264894028194,58.441062040044926,532.6001397978398,8
999981,25.264479,12.487381,25.212439,12.817062,4.55507,4.375869,24.090437,25.40903,83.039345,-42.231018,23.510778,25.223936,79.9119,-42.55361,17.43863,25.69634,82.368744,-44.196995,17.080042,25.480143,79.381454,-46.022606,23.340439,25.36118,82.62537,-44.580185,22.848902,25.16824,79.94808,-46.07199,0.047695357,0.6187174,0.99997073,-0.99999946,3.199967,0.8259818,5.3629,0.87436444,9001,9001,-23.045277,25.8376,25.141487,82.128716,-28.866676,25.153889,25.023308,79.985535,-29.062904,25.590961,25.429867,81.504105,-37.59988,-0.2136664,1.8374665,5.758895,-6.2091084,0.019529844,0.80489373,2.0873735,-2.7658505,-0.6673911,0.51274145,0.79614913,-1.7177181,0.4215233623981476,-2.7759132385253906,8642,97,92.0,122.96611999517049,327,25,2.617512792948703,1.1552790449242205,4.855704865072723,0.8080837590411782,240.81117695128074,397.5407016082406,1029.1614272146473,26.315982373392835,0.09489424,0.59548926,0.9999187,-0.99997866,9,240.81117695128074,8784,58,183.4,128.11026500636083,289,26,3.2383012553866006,1.2578388752163145,5.209355798853855,0.8374833335683555,593.9044502379026,461.45706030930194,974.5817161192174,27.909401771051435,0.0032986454,0.5190607,0.97532433,-0.9978173,5,593.9044502379026,2.429546906030737,0.00502192898420617,0.8197813349543139,55.05985028902069,58.314200458989944,590.9176875647972,9
