replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
999981,37.866856,27.395977,37.921158,27.395819,0.00023259313,0.00039529605,0.006631851,0.001156184,0.0090732,0.003967357,-0.002224851,0.001329302,0.0016672721,-0.004962699,0.006636134,0.0011455256,0.009104054,0.0038963242,-0.0022271785,0.001320435,0.0017460852,-0.0052565867,0.0066320463,0.001152184,0.009153216,0.0037785158,-0.0022350259,0.0013285433,0.0015588754,-0.005191669,0.00060318847,0.615956,0.9997876,-0.9998866,3.1325169,0.8367114,4.4750586,0.84265864,1,1,-1.9995667,0.0065817,0.0011816157,0.008853067,0.0045147557,-0.0022503836,0.0011980478,0.0011595504,-0.004320144,3.1324806,0.83641607,4.4774175,0.84271526,-2.0018253,0.38274145,-0.8229625,-2.7266295,-0.0008965763,0.0010847101,0.0010270207,-0.002811072,0.00061159435,0.0007746388,0.002328259,-0.000596778,0.9999000430107117,-0.0,976,28,34.857142857142854,9.538322275784914,54,8,1.621775926418665,0.44097110055237104,2.6933839299097118,0.6781126515785324,56.5304751494506,16.96192602628116,92.1787748361694,7.180280397076023,0.33113477,0.615356,0.99855375,-0.9957019,28,56.5304751494506,996,10,99.6,8.581375181169975,113,82,0.949154575043015,0.04600445758740541,1.007365388888232,0.7910879895970302,94.53579567428429,9.91297359129708,111.98802850721228,75.520735023605,-0.00097709,0.0011171721,0.0004885113,-0.002358426,10,94.53579567428429,3.7606644370243885,0.0058734280173666775,0.8292746709776111,67.8710021720035,72.46681470802287,79.25254036305705,0
999981,23.40707,16.178387,23.178654,16.471046,2.4435277,2.4286962,7.114061,5.648715,19.883606,-3.3460796,6.830777,5.5589633,19.85006,-3.026755,5.4884343,5.8077135,19.7782,-3.2717628,5.266862,5.7355685,20.116684,-3.1028063,6.948854,5.62449,19.62227,-3.331401,6.69915,5.5330477,19.71058,-3.04274,0.029453678,0.60394835,0.99868804,-0.9999996,3.1455843,0.86222696,4.4673038,0.7935066,1001,1001,-8.503991,9.96756,4.5464516,19.377169,0.7831029,9.628415,4.416466,19.573242,0.51205975,9.392868,4.856842,19.233156,0.53657734,-1.5241591,1.1091633,3.1210704,-5.658085,0.037881736,0.35730913,0.956549,-1.351312,-0.2506001,0.32852587,0.649361,-0.9468127,0.9065189361572266,-0.44357791543006897,1810,32,208.5,115.63844516422728,336,24,3.1730391013933974,1.1689351497784373,5.336885754652116,0.7704015924675413,661.5786526405233,399.68659993593894,1093.6647600392487,24.765202247067002,0.03691738,0.6117951,0.99981797,-0.99999976,4,661.5786526405233,1951,17,136.42857142857142,26.42972970434806,152,72,2.4000543345707057,0.6570646928623396,3.3611808002760704,1.0072764403772947,327.435984216432,75.30488408310342,385.43146797706225,146.4322671520201,-0.026166406,0.25942996,0.4833292,-0.8177506,7,327.435984216432,3.4475265920045786,0.0027413920033723116,0.8429604230332188,67.98658946796786,72.27981787500903,151.53592329396633,1
999981,23.541985,14.267323,23.821499,14.71537,2.8734345,2.901369,6.5635405,10.545109,30.63884,-13.19808,6.6441545,10.51535,31.146824,-12.867705,3.8379536,10.825492,31.37954,-13.568241,3.964801,10.7866335,30.585575,-13.015988,6.273827,10.541372,30.519466,-13.776285,6.419566,10.518697,30.790216,-13.214704,0.020116653,0.59393513,0.9997697,-0.9999719,3.042337,0.9606603,4.857972,0.7868312,2001,2001,-7.4194756,9.343984,9.580441,30.955765,-8.960019,9.373564,9.604634,30.716837,-9.187216,9.566893,9.73753,30.574478,-5.7334995,-1.2014827,1.3884356,7.9453936,-3.6970441,0.025549838,0.47755286,1.2025485,-1.6066515,-0.3644122,0.39629048,0.8001568,-1.232743,0.8231388926506042,-0.8173304796218872,2672,36,215.5,5.220153254455275,224,210,2.8691208538282655,1.077569586256928,5.207384814128165,0.8070186683409977,618.295543999991,34.31544283426375,661.8464910155454,566.382620849814,0.093088545,0.60407907,0.99866045,-0.99999875,4,618.295543999991,2926,23,162.5,2.29128784747792,167,160,2.502390554807015,0.817645877926265,3.7795184443885934,0.9113307308926909,406.63846515613983,4.293644922089001,413.0441999543967,401.31984951475636,-0.0066977204,0.3411796,0.70082283,-0.9711579,6,406.63846515613983,3.494197080959566,0.002789753023535013,0.8411839890177362,68.76750765298493,73.10567847598577,224.6436410259921,2
999981,25.50157,13.51429,26.205046,13.911041,3.264553,3.247336,7.8188934,14.349299,40.86661,-24.86301,8.03925,14.331989,41.93426,-23.838625,4.393383,14.802565,39.088097,-24.675106,4.7109294,14.791629,40.70114,-23.765839,7.5089746,14.491486,40.686733,-23.871819,7.737432,14.454527,41.73556,-22.053717,-0.025156086,0.61143917,0.9999697,-0.9999833,3.1529574,0.90726787,4.557298,0.79653996,3001,3001,-8.881464,10.730713,13.553076,41.540245,-13.168074,10.882423,13.561021,41.886166,-12.963587,10.077908,13.637074,39.04499,-16.344275,-1.093111,1.308102,3.9532151,-4.2531943,0.040333785,0.5112744,1.4227766,-1.5889307,-0.407666,0.42009595,0.7642767,-1.2835854,0.7475871443748474,-1.190306544303894,3380,40,177.0,106.74268124794318,311,29,2.940102173017274,1.193200503993763,5.36685114796735,0.7837375829058103,520.3980846240577,391.337897428944,1024.9950549048497,33.272024035697754,0.10213996,0.60865754,0.9999529,-1.0,4,520.3980846240577,3914,27,247.0,22.737634001804146,270,212,3.01720632651691,0.9791998727924295,4.68879832317371,0.8918960039222414,745.2499626496767,84.24985487944551,830.5981096310552,615.7490329820174,-0.01933961,0.40945578,0.8097719,-0.9846316,4,745.2499626496767,3.492105792975053,0.005009080981835723,0.8314100279822014,68.84329859103309,73.17182349297218,297.8176447720034,3
999981,30.238821,14.12381,30.54512,14.287163,3.636522,3.610673,6.9446244,16.603449,44.562195,-33.071796,7.1270585,16.592028,44.983265,-30.227755,2.940794,17.2698,44.855476,-31.828789,3.192327,17.249292,45.10544,-31.52379,6.4144545,16.91659,45.498215,-31.257666,6.545709,16.941732,44.646633,-32.183147,0.010460024,0.61609536,0.9999986,-0.9999994,3.118493,0.892497,4.946811,0.8473759,4001,4001,-7.4757233,9.761543,15.805303,42.91026,-19.274681,9.845677,15.830209,44.486233,-19.557026,10.1659775,16.255514,47.03182,-23.931799,-0.8564644,1.4712231,8.32339,-4.002317,-0.0065851617,0.5873848,1.416504,-2.1452417,-0.39051604,0.46845597,1.1385252,-1.3674784,0.6790157556533813,-1.492506742477417,4361,46,163.5,114.71958565708532,305,25,2.981183919860501,1.2104278367168615,5.273588847320365,0.7679880304607285,487.42357089719167,411.3800054785853,1017.0650696147868,25.887496979889626,0.06836144,0.5992682,0.9999828,-0.9999997,6,487.42357089719167,4788,31,218.5,9.233092656309694,233,208,3.013786674176017,1.0458003348058171,4.951059448179168,0.8733927888627482,658.5123883074596,40.744672345137495,722.7769275794973,611.7068033721878,0.011687571,0.42618006,0.8237392,-0.99341816,4,658.5123883074596,3.422845590976067,0.00476772099500522,0.8294111660216004,68.50670540699502,72.7637298849877,370.58452250104165,4
999981,27.543074,12.719421,28.671333,13.14999,4.0088363,3.9248774,8.243062,19.329088,53.090282,-40.112446,8.705668,19.403355,53.393307,-39.257397,3.457613,20.025385,52.80956,-48.45787,4.0436187,19.991673,53.226624,-46.869637,7.7367377,19.280788,52.589745,-47.19696,8.20001,19.344517,52.91795,-44.98754,0.039577246,0.61759,0.9997581,-0.99999636,3.128564,0.84930277,4.6647997,0.83028054,5001,5001,-8.687281,10.999926,18.784399,52.4598,-27.629276,11.318241,18.786285,52.86739,-26.851074,10.048481,19.393171,51.392166,-34.185806,-0.6738545,1.7920998,7.341486,-7.333377,0.021581195,0.62485856,1.6188734,-2.2055738,-0.47846374,0.45534852,0.90546435,-1.4915301,0.6168127655982971,-1.7748178243637085,5350,50,247.25,23.134119823325893,285,226,3.1536245235345386,1.175794635994724,5.314981309698952,0.788942086605777,779.7336634439146,96.98789574974668,942.8924925015799,700.1466420820516,0.011275641,0.6092608,0.99887353,-1.0,4,779.7336634439146,5776,36,197.6,5.678027826631356,208,192,2.921409412976237,1.0488459838146198,5.001295883464075,0.8467298673067711,577.2705000041045,23.82788623860185,619.2881436809471,551.769043103817,0.028565621,0.43513986,0.89692205,-0.9893851,5,577.2705000041045,3.4928245280170813,0.003933283966034651,0.8172854540171102,68.4046254309942,72.71866869699443,443.3051889100461,5
999981,28.114708,13.675507,26.916313,14.561836,4.1882815,3.9836276,12.466549,21.390396,63.20573,-48.150707,11.803274,21.428345,61.131145,-46.92927,7.16835,22.431807,61.224743,-52.050728,6.871579,22.329002,60.885677,-50.32012,11.771399,21.395771,61.13435,-51.27057,11.123097,21.49469,61.378475,-49.000668,0.003574036,0.6155003,0.99916464,-0.9999325,3.2217698,0.8392712,4.6913037,0.85588443,6001,6001,-12.303641,14.8740635,20.936605,62.938805,-32.49553,13.993959,20.907652,60.866627,-34.500145,13.724727,21.353247,59.454456,-33.234097,-0.7972537,1.4026761,3.1462917,-4.622615,-0.01149916,0.63289285,1.5153211,-1.7769003,-0.53949434,0.45825055,0.6809795,-1.5843602,0.5605159997940063,-2.1978530883789062,6132,55,156.4,107.73411715886478,269,26,3.027469001890647,1.2903246771903278,5.620115178208359,0.780876275289396,473.4961518956974,374.2113361387334,901.8900207497411,28.17597481815322,0.028784124,0.583522,0.9996764,-1.0,5,473.4961518956974,6577,42,133.5,103.51610180707799,240,29,2.974336176903607,1.2876377274729103,5.361821813002177,0.8342159621324166,397.07387961663153,362.63744971476683,777.7311767090596,32.8103955953233,0.023786632,0.46598816,0.93799865,-0.9969193,6,397.07387961663153,3.4357957059983164,0.0048986729816533625,0.8208213209873065,67.60663386998931,71.86814956995659,515.1754599970882,6
999981,28.14899,12.389992,26.638956,12.099663,4.4833546,4.2852974,11.334397,23.283722,64.0867,-48.41207,11.325215,23.145664,62.97386,-46.24274,5.212825,24.023273,63.75497,-48.871765,5.5125012,23.862862,61.506195,-47.642807,10.714102,23.31602,62.802162,-48.296566,10.693729,23.22742,62.379704,-45.8742,0.01443455,0.6122338,0.9991301,-0.9999435,3.0956342,0.87280065,4.4474115,0.8712826,7001,7001,-11.570968,13.732313,22.668262,63.78118,-35.570698,13.696774,22.594423,61.12038,-35.298203,12.664438,22.611069,64.72059,-44.98208,-0.30970585,1.6512293,5.1364355,-4.8193493,0.02871944,0.70925164,1.7075942,-2.0350194,-0.57754993,0.50275546,0.83854425,-1.5922766,0.5094478130340576,-2.2318406105041504,7072,62,134.28571428571428,125.12018711818567,303,23,2.9521828618400203,1.2804688393406052,5.416813407959391,0.8150952921101089,396.43598430423145,426.0412979776432,973.3756557031797,23.262262280448272,0.056864485,0.59963226,0.9999593,-1.0,7,396.43598430423145,7552,46,243.75,1.0897247358851685,245,242,3.209978536456701,1.2039062440115662,5.430471295047406,0.8291162808615833,782.4322682613209,4.539866220911432,786.0768356115566,774.8591305944229,0.016768068,0.5004941,0.94353276,-0.99778223,4,782.4322682613209,3.4043105890159495,0.005403487011790276,0.8164809750160202,68.22261191299185,72.44880696403561,587.6278388500796,7
999981,27.03423,13.550972,27.295572,13.670525,4.226157,4.133462,13.804888,26.303034,70.96376,-54.04143,13.997943,26.393398,71.75068,-51.07085,8.032648,26.736025,70.95012,-55.226936,8.47552,26.800703,71.088295,-54.237038,13.338651,26.187004,71.71896,-49.021805,13.532385,26.246248,70.83072,-46.41723,0.01952088,0.6070906,0.9999389,-0.9999889,3.1613429,0.9068882,4.6477957,0.7852422,8001,8001,-13.716884,15.893343,25.765396,71.612206,-37.03081,16.059223,25.764286,71.12377,-36.443966,15.890754,25.974367,70.14668,-43.24182,-0.4765896,1.6902124,6.663092,-4.763179,-0.021610767,0.73626405,2.6228974,-2.506484,-0.57343,0.50428593,0.92482066,-1.6087265,0.463189035654068,-2.6753201484680176,8050,66,244.5,122.98068954108201,332,33,3.0204924303209526,0.9925255397142647,4.851398334402274,0.8120821458112504,738.5103992134731,404.6474426531072,1018.8807905815244,40.317934217001834,0.05266415,0.6207795,0.9997455,-0.99999636,4,738.5103992134731,8370,50,204.5,99.73590125927574,270,32,3.232679108689536,1.2606990615055116,5.231222043405324,0.8242682934929033,661.0828777270099,360.26476031646274,904.01943421113,38.477649425090505,-0.009696359,0.50743115,0.96737957,-0.9993172,4,661.0828777270099,3.451706777967047,0.002714066009502858,0.8517743969568983,67.9509811209864,72.25717636191985,659.8883089981391,8
999981,25.821003,12.099457,26.264,12.498222,4.611742,4.4717627,19.416506,26.087053,80.854256,-49.56672,19.414007,25.948103,79.73946,-44.949142,12.3744545,26.625456,77.55776,-49.93711,12.714003,26.251978,76.275024,-44.09576,18.53522,26.279589,78.17817,-47.41519,18.529224,26.118351,78.30777,-46.095688,0.07736594,0.59834766,0.9985227,-0.9999986,3.0666575,0.8921688,4.492782,0.75184023,9001,9001,-19.09402,21.095089,25.774887,82.64031,-31.417938,21.012495,25.575052,81.04568,-30.865297,20.501448,26.168278,79.48257,-37.01125,-0.20722409,1.5881708,4.5872664,-4.4838886,0.103095494,0.72411054,2.0791225,-2.0819378,-0.7588868,0.49936253,0.76813984,-1.8231158,0.42121556401252747,-2.7727010250091553,9005,69,318.3333333333333,63.336842008072644,407,263,3.203788143666293,1.017464749859088,5.330408606594651,0.79723872714229,1019.8725590671033,168.12053641485917,1254.8052095064616,870.7556498909831,0.028046086,0.60636014,0.99992704,-0.9999999,3,1019.8725590671033,9266,53,298.6666666666667,3.299831645537222,301,294,3.3734200649074944,1.1247821012698391,5.1044974028305345,0.8314645504055924,1007.528126052371,8.764871706118786,1015.3004182080551,995.2796794524177,0.013201104,0.530573,0.96392846,-0.99750835,3,1007.528126052371,3.380406390002463,0.0027160969912074506,0.8399781999760307,67.82000547496136,72.04310616193106,731.9334048660821,9
